ID_REGISTRO,ID_IOT,VL_COORDX,VL_COORDY,VL_COORDZ,DTH_REGISTRO,BSSID,RSSI
357,1,8.26,0.78,0.57,2025-07-31 01:09:31,24:FD:0D:D7:17:4A,-52
358,2,2.96,0.0,0.5,2025-07-31 01:09:40,24:FD:0D:D7:17:4A,-57
359,1,8.26,0.78,0.57,2025-07-31 01:09:40,24:FD:0D:D7:17:4A,-52
360,2,2.96,0.0,0.5,2025-07-31 01:09:48,24:FD:0D:D7:17:4A,-57
361,1,8.26,0.78,0.57,2025-07-31 01:09:49,24:FD:0D:D7:17:4A,-51
362,2,2.96,0.0,0.5,2025-07-31 01:09:57,24:FD:0D:D7:17:4A,-58
363,1,8.26,0.78,0.57,2025-07-31 01:09:58,24:FD:0D:D7:17:4A,-51
364,2,2.96,0.0,0.5,2025-07-31 01:10:06,24:FD:0D:D7:17:4A,-57
365,1,8.26,0.78,0.57,2025-07-31 01:10:07,24:FD:0D:D7:17:4A,-52
366,2,2.96,0.0,0.5,2025-07-31 01:10:15,24:FD:0D:D7:17:4A,-57
367,1,8.26,0.78,0.57,2025-07-31 01:10:16,24:FD:0D:D7:17:4A,-51
368,2,2.96,0.0,0.5,2025-07-31 01:10:24,24:FD:0D:D7:17:4A,-62
369,1,8.26,0.78,0.57,2025-07-31 01:10:26,24:FD:0D:D7:17:4A,-51
370,2,2.96,0.0,0.5,2025-07-31 01:10:33,24:FD:0D:D7:17:4A,-58
371,1,8.26,0.78,0.57,2025-07-31 01:10:34,24:FD:0D:D7:17:4A,-52
372,2,2.96,0.0,0.5,2025-07-31 01:10:42,24:FD:0D:D7:17:4A,-62
373,1,8.26,0.78,0.57,2025-07-31 01:10:43,24:FD:0D:D7:17:4A,-52
374,2,2.96,0.0,0.5,2025-07-31 01:10:50,24:FD:0D:D7:17:4A,-63
375,1,8.26,0.78,0.57,2025-07-31 01:10:52,24:FD:0D:D7:17:4A,-51
376,2,2.96,0.0,0.5,2025-07-31 01:10:59,24:FD:0D:D7:17:4A,-58
377,1,8.26,0.78,0.57,2025-07-31 01:11:01,24:FD:0D:D7:17:4A,-52
378,2,2.96,0.0,0.5,2025-07-31 01:11:08,24:FD:0D:D7:17:4A,-58
379,1,8.26,0.78,0.57,2025-07-31 01:11:10,24:FD:0D:D7:17:4A,-52
380,2,2.96,0.0,0.5,2025-07-31 01:11:16,24:FD:0D:D7:17:4A,-58
381,1,8.26,0.78,0.57,2025-07-31 01:11:19,24:FD:0D:D7:17:4A,-51
382,2,2.96,0.0,0.5,2025-07-31 01:11:25,24:FD:0D:D7:17:4A,-64
383,1,8.26,0.78,0.57,2025-07-31 01:11:28,24:FD:0D:D7:17:4A,-52
384,2,2.96,0.0,0.5,2025-07-31 01:11:34,24:FD:0D:D7:17:4A,-58
385,1,8.26,0.78,0.57,2025-07-31 01:11:37,24:FD:0D:D7:17:4A,-51
386,2,2.96,0.0,0.5,2025-07-31 01:11:43,24:FD:0D:D7:17:4A,-61
387,1,8.26,0.78,0.57,2025-07-31 01:11:46,24:FD:0D:D7:17:4A,-55
388,2,2.96,0.0,0.5,2025-07-31 01:11:51,24:FD:0D:D7:17:4A,-63
389,1,8.26,0.78,0.57,2025-07-31 01:11:55,24:FD:0D:D7:17:4A,-51
390,2,2.96,0.0,0.5,2025-07-31 01:11:59,24:FD:0D:D7:17:4A,-59
